Updated 04/25/25 at 12:07am,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
Keon Coleman,WR43,WR,BUF,4538,21.9,No,WR43,3608,,0
Davante Adams,WR44,WR,LAR,4535,32.3,No,WR44,3601,,0
Michael Penix Jr.,QB17,QB,ATL,4517,25.0,No,QB18,5456,,0
Tyrone Tracy,RB24,RB,NYG,4455,25.4,No,RB25,3364,,0
Zach Charbonnet,RB25,RB,SEA,4437,24.3,No,RB24,3434,,0
Jalen McMillan,WR45,WR,TBB,4414,23.4,No,WR45,3547,,0
Brock Purdy,QB18,QB,SFO,4362,25.3,No,QB15,5517.99,,0
Michael Pittman,WR46,WR,IND,4332,27.6,No,WR46,3507,,0
Najee Harris,RB26,RB,LAC,4331.99,27.1,No,RB26,3363,,0
Courtland Sutton,WR47,WR,DEN,4316,29.5,No,WR47,3408,,0
Dalton Kincaid,TE8,TE,BUF,4279,25.5,No,TE8,3571,,0
2026 Early 2nd,,PI,,4254,,,,3398,,0
2025 Mid 2nd,,PI,,4225,,,,3449,,0
Cam Skattebo,RB27,RB,FA,4207,-1.0,Yes,RB27,3321,,0
Tucker Kraft,TE9,TE,GBP,4189,24.5,No,TE12,3337,,0
Trevor Lawrence,QB19,QB,JAC,4125,25.6,No,QB19,5399,,0
Brian Robinson,RB28,RB,WAS,4124.99,26.1,No,RB29,3209,,0
Travis Etienne,RB29,RB,JAC,4105,26.2,No,RB30,3174,,0
David Njoku,TE10,TE,CLE,4082,28.8,No,TE9,3358,,0
Isaiah Likely,TE11,TE,BAL,4075,25.0,No,TE10,3342,,0
Trey Benson,RB30,RB,ARI,4073,22.8,No,RB28,3300,,0
Jauan Jennings,WR48,WR,SFO,4063,27.8,No,WR48,3262,,0
James Conner,RB31,RB,ARI,4059,30.0,No,RB31,3166,,0
Kyle Pitts,TE12,TE,ATL,4053,24.6,No,TE11,3339,,0
Mark Andrews,TE13,TE,BAL,4039,29.6,No,TE13,3258,,0
Jakobi Meyers,WR49,WR,LVR,4029,28.4,No,WR49,3191,,0
Deebo Samuel,WR50,WR,WAS,3946,29.3,No,WR50,3112,,0
2027 Early 2nd,,PI,,3929,,,,3272,,0
Xavier Legette,WR51,WR,CAR,3913,24.2,No,WR51,3054,,0
Bryce Young,QB20,QB,CAR,3912,23.8,No,QB21,4811,,0
Jared Goff,QB21,QB,DET,3883,30.5,No,QB20,4959,,0
Jaylen Warren,RB32,RB,PIT,3881,26.5,No,RB33,2996,,0
Isiah Pacheco,RB33,RB,KCC,3850,26.1,No,RB32,3063,,0
Shedeur Sanders,QB22,QB,FA,3849,-1.0,Yes,QB24,4250,,0
Aaron Jones,RB34,RB,MIN,3846,30.4,No,RB34,2988,,0
2026 Mid 2nd,,PI,,3801,,,,3040,,0
2025 Late 2nd,,PI,,3768,,,,3076,,0
Tony Pollard,RB35,RB,TEN,3755,28.0,No,RB35,2974,,0
Dak Prescott,QB23,QB,DAL,3744,31.7,No,QB22,4801,,0
Tank Bigsby,RB36,RB,JAC,3722,23.6,No,RB38,2898,,0
Braelon Allen,RB37,RB,NYJ,3708,21.2,No,RB37,2915,,0
Jordan Mason,RB38,RB,MIN,3699,25.9,No,RB39,2894,,0
Rhamondre Stevenson,RB39,RB,NEP,3692,27.2,No,RB40,2875,,0
Tyjae Spears,RB40,RB,TEN,3685,23.8,No,RB36,2955,,0
Tank Dell,WR52,WR,HOU,3655,25.5,No,WR53,2914,,0
Stefon Diggs,WR53,WR,NEP,3640,31.4,No,WR55,2897.99,,0
Cooper Kupp,WR54,WR,SEA,3626,31.8,No,WR54,2909,,0
Justin Fields,QB24,QB,NYJ,3606,26.1,No,QB25,4130,,0
Rashid Shaheed,WR55,WR,NOS,3597,26.6,No,WR56,2895,,0
Anthony Richardson,QB25,QB,IND,3596,22.9,No,QB28,3650,,0
Darnell Mooney,WR56,WR,ATL,3566,27.5,No,WR57,2880,,0
Calvin Ridley,WR57,WR,TEN,3557,30.3,No,WR52,2926,,0
D'Andre Swift,RB41,RB,CHI,3549,26.3,No,RB42,2823,,0
Jonathon Brooks,RB42,RB,CAR,3533,21.8,No,RB41,2858,,0
Tua Tagovailoa,QB26,QB,MIA,3525,27.1,No,QB23,4367,,0
Evan Engram,TE14,TE,DEN,3509,30.6,No,TE14,2885,,0
2027 Mid 2nd,,PI,,3493,,,,2927,,0
2026 Late 2nd,,PI,,3488,,,,2840,,0
Pat Freiermuth,TE15,TE,PIT,3467,26.5,No,TE15,2835,,0
Blake Corum,RB43,RB,LAR,3443,24.4,No,RB45,2746,,0
Jake Ferguson,TE16,TE,DAL,3442,26.3,No,TE16,2825,,0
Adonai Mitchell,WR58,WR,IND,3438,22.5,No,WR58,2789,,0
Isaac Guerendo,RB44,RB,SFO,3437.99,24.8,No,RB43,2788.99,,0
Cade Otton,TE17,TE,TBB,3435,26.0,No,TE17,2816,,0
Sam Darnold,QB27,QB,SEA,3421,27.9,No,QB26,4094,,0
Jalen Coker,WR59,WR,CAR,3414,23.5,No,WR65,2705,,0
Jonnu Smith,TE18,TE,MIA,3386,29.7,No,TE19,2795,,0
Jaylen Wright,RB45,RB,MIA,3382,22.1,No,RB46,2738,,0
Travis Kelce,TE19,TE,KCC,3381,35.6,No,TE20,2779,,0
Quentin Johnston,WR60,WR,LAC,3367,23.6,No,WR59,2748,,0
Rachaad White,RB46,RB,TBB,3362,26.3,No,RB44,2767,,0
Tre Harris,WR61,WR,FA,3359,-1.0,Yes,WR67,2644,,0
Marvin Mims,WR62,WR,DEN,3357,23.1,No,WR60,2747,,0
Cole Kmet,TE20,TE,CHI,3348,26.1,No,TE18,2798,,0
Romeo Doubs,WR63,WR,GBP,3343,25.0,No,WR63,2721,,0
Cedric Tillman,WR64,WR,CLE,3335,25.0,No,WR64,2713,,0
Christian Kirk,WR65,WR,HOU,3316,28.4,No,WR61,2737.99,,0
Rashod Bateman,WR66,WR,BAL,3309,25.4,No,WR62,2729,,0
Dylan Sampson,RB47,RB,FA,3275,-1.0,Yes,RB47,2660,,0
